msv,total_sessions,total_clicks_6w,avg_session_duration_minutes,max_session_duration_minutes,active_days_count,avg_daily_clicks,std_daily_clicks,burst_activity_days,slope_clicks_over_time,long_inactivity_gap,late_night_clicks,morning_clicks,night_clicks,noon_clicks,total_clicks,ratio_morning,ratio_noon,ratio_night,ratio_late_night,circadian_entropy,most_active_period,total_active_days_x,late_night_active_days_x,late_night_day_ratio_x,total_active_days_y,late_night_active_days_y,late_night_day_ratio_y,total_attempts,total_unique_quizzes,quiz_retry_ratio,total_available,total_viewed,resource_view_ratio,total_submitted,total_late,avg_hours_before_deadline,late_ratio,weekly_click_std
11245871,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245872,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245874,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245876,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245880,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245882,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245883,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245885,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245888,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245896,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245898,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245902,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245904,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245908,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245911,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245913,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245915,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245917,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245919,1.0,4.0,22.7,22.7,1,4.0,0.0,0,0.1142857142857142,22,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,-0.0,Noon (11-19),1,0,0.0,1,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,1.632993161855452
11245922,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245929,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245931,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245933,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245934,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245941,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245946,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
